pref_name,umls_cui_linked,average_depth,trials_count,pubmed_count,search_frequency,select_frequency
"Tnf receptor-associated periodic fever syndrome (trap)",C0143421,4.0732,4,NULL,1,1
"Herlitz disease",C0001597,7.2901,4,300,1,NULL
"Stargardt disease 1",C0186043,NULL,4,NULL,1,2
"Renal pain",C0090877,6.6563,4,NULL,1,NULL
"Whim syndrome",C0077187,6.8889,4,NULL,1,NULL
"Limited scleroderma",C0115090,4.3448,4,147,2,NULL
"Multifocal breast carcinoma",C0299412,7.6,4,NULL,1,3
"Infectious gastroenteritis",C0038020,9.8212,4,NULL,1,NULL
"Mass lesion of brain",C0114328,6.5,4,NULL,3,NULL
"Adiposis dolorosa",C0004657,6.5814,4,124,1,NULL
"Congenital anemia, hemolytic",C0004775,5.1477,4,1800,2,NULL
"Stage iv diffuse large b-cell lymphoma",C0123962,9.0545,4,NULL,2,2
"Plaque morphea",C0147266,11.3529,4,NULL,1,NULL
"Pelvic floor dyssynergia",C0162545,4,4,NULL,1,NULL
"Proteus infection",C0008118,4.3889,4,2595,1,NULL
"Cancer pancreatic staging",C0039257,5,4,NULL,7,2
"Secondary malignant neoplasm of large intestine",C0000695,13.0386,4,NULL,4,NULL
"Visual halo",C0032620,8.6,4,NULL,1,NULL
"Deficiency of butyryl-coa dehydrogenase",C0045036,4.6341,4,NULL,1,NULL
"Hair loss/baldness",C0086166,2,4,NULL,2,1
"Hereditary factor viii deficiency disease without inhibitor",C0137525,4.68,4,NULL,1,NULL
"Lung cancer stage ii",C0130118,NULL,4,NULL,10,13
"Polyglandular type i autoimmune syndrome",C0009397,7.9643,4,NULL,1,NULL
"Cancer of nose",C0004546,5.0185,4,7643,6,4
"Stent stenosis",C0349549,NULL,4,NULL,3,NULL
"High grade adult non-hodgkin's lymphoma",C0038829,9,4,NULL,1,NULL
Xerocytosis,C0033300,8.72,4,NULL,2,NULL
"Gastrointestinal pain",C0113166,4.0833,4,NULL,1,1
"Stage iv liver cancer",C0155872,9.8125,4,NULL,1,NULL
"Familial hypoalphalipoproteinemia",C0172856,6.8,4,NULL,1,NULL
"Malignant tumour of parotid gland",C0003576,12.3533,4,NULL,1,NULL
"Dupuytren's disease of finger",C0055412,8.234,4,NULL,1,NULL
"Tufted angioma of skin",C0047391,8.8204,4,NULL,3,NULL
"Pancreatic pain",C0087495,7,4,NULL,2,NULL
"Grade ii meningioma",C0159019,8.5,4,NULL,2,NULL
Gliosis,C0006181,3.9333,4,2823,1,NULL
"Pleomorphic rhabdomyosarcoma",C0041459,10.7917,4,NULL,1,NULL
"Lung cancer stage i",C0130109,NULL,4,NULL,8,NULL
"Central nervous system leukaemia",C0153792,5.0244,4,NULL,2,NULL
"Familial hemiplegic migraine",C0041787,7.0676,4,NULL,1,1
"Pain in testicle",C0008732,6.9032,4,NULL,1,NULL
"Acute myeloid leukaemia recurrent",C0138736,4,4,NULL,4,NULL
"Mitochondrial respiratory chain deficiency",C0137110,NULL,4,NULL,2,NULL
"Sporadic amyotrophic lateral sclerosis",C0190033,NULL,4,NULL,1,1
"Benzodiazepine withdrawal",C0198979,6,4,NULL,1,NULL
"Burkitt-like lymphoma",C0156251,12.3,4,NULL,5,NULL
"Narcotic dependence",C0161282,NULL,4,NULL,8,NULL
"Inborn brain diseases, metabolic",C0116160,4.4912,4,311,8,NULL
"Breast cyst",C0005088,4.8095,5,154,14,4
"Chronic myeloid leukemia in remission",C0011578,8.9153,5,NULL,1,NULL
"Disorder of knee",C0148063,7.4,5,NULL,1,NULL
"Decompensated copd",C0269955,NULL,5,NULL,1,NULL
"Pneumococcal meningitis",C0007126,7.4429,5,2622,1,2
"Fgfr2 gene mutation",C0326063,5,5,NULL,5,NULL
"Chronic gouty arthritis",C0030169,8.1304,5,NULL,1,NULL
"Mild depression",C0109587,6,5,NULL,5,2
"Clinical depression",C0204794,4,5,NULL,1,1
"Blood stem cell transplant failure",C0138959,4,5,NULL,3,NULL
"Benign tumor of pancreas",C0048166,8.4,5,NULL,7,1
"Pulsatile tinnitus",C0115832,5,5,NULL,1,NULL
"Recurrent meningioma",C0155376,8.5,5,NULL,2,NULL
"Chronic pain due to injury",C0203518,8,5,NULL,1,NULL
"Cecal neoplasm",C0003315,12.7058,5,2142,1,NULL
"Capillary malformation",C0043536,7.3226,5,NULL,11,1
"Zellweger syndrome",C0009134,4.8939,5,494,2,3
"Craniomandibular disorder",C0009154,4,5,326,1,NULL
"Lazy eye",C0063307,4,5,NULL,3,1
"Kabuki make-up syndrome",C0116407,4.8333,5,NULL,4,NULL
"Tangier disease",C0008713,6.0349,5,449,1,NULL
"Young onset parkinson disease",C0362721,10.1111,5,NULL,3,6
"Scurfiness of scalp",C0001223,8.4974,5,53,1,NULL
"Cardiac pain",C0063897,6.1429,5,NULL,2,NULL
"Congenital abnormality of vein",C0295197,6.4286,5,NULL,2,NULL
"Hereditary spherocytosis",C0008556,6.03,5,1937,4,NULL
Papillomatosis,C0017788,4.6,5,NULL,1,NULL
"Sjogren-larsson syndrome",C0008503,5.7035,5,158,1,NULL
"Metastasis to peripheral nerve",C0003521,10.3523,5,NULL,5,1
"Acute pelvic inflammatory disease",C0009709,9.2419,5,NULL,1,NULL
"Rat sarcoma",C0193471,9,5,NULL,1,NULL
"Herpes simplex type ii",C0114091,NULL,5,NULL,1,NULL
"Acute disseminated encephalomyelitis",C0005806,7.086,5,1355,1,NULL
"Bilateral breast cancer",C0039503,8,5,NULL,2,NULL
"Very long chain acyl-coa dehydrogenase deficiency",C0333974,4.641,5,NULL,1,NULL
"Smoker's lung",C0121236,NULL,5,NULL,2,NULL
"Copd bronchitis",C0114392,NULL,5,NULL,12,NULL
"Central nervous system lupus vasculitis",C0116275,5.0939,5,374,3,NULL
"Mastitis-metritis-agalactia syndrome",C0036770,10.5556,5,NULL,1,NULL
"Cancer of lymph node",C0136717,7,5,NULL,1,NULL
"Refsum disease",C0008247,6.3374,5,603,3,NULL
"Chemo brain",C0192273,NULL,5,NULL,1,NULL
"Inflammatory and toxic neuropathy",C0000419,5.7349,5,2803,1,NULL
"Wernicke-korsakoff syndrome",C0049828,5.3709,5,319,2,NULL
"Sudden deafness",C0139089,NULL,5,NULL,1,NULL
"Kidney transplant failure",C0157166,5,5,NULL,1,NULL
"Factor v leiden mutation",C0108675,4.2174,5,NULL,4,NULL
"Stage iia lung cancer ajcc v7",C0155640,11.4545,5,NULL,1,2
"Ocular onchocerciasis",C0007460,7.24,5,334,1,NULL
"Psoriatic plaque",C0134910,NULL,5,NULL,1,2
"Neonatal diabetes mellitus",C0015142,4.7391,5,NULL,1,4
"Chronic nonmalignant pain",C0319253,8,5,NULL,2,2
"Dermatofibrosis lenticularis disseminata",C0027984,7.0492,6,NULL,1,1
"Congenital disorder of glycosylation",C0039694,4.8519,6,329,1,NULL
Hypoplasminogenemia,C0051997,7,6,NULL,5,NULL
"Cyclothymic disorder",C0002826,4.3784,6,463,1,NULL
"Pruritus of vagina",C0009010,9.8571,6,NULL,1,NULL
"Unknown primary tumor",C0009490,NULL,6,NULL,5,NULL
"Benign neoplasm of adrenal gland",C0011694,8.8106,6,NULL,1,NULL
"Childhood ataxia with central nervous system hypomyelinization",C0187972,9.3333,6,NULL,1,NULL
"With uveitis and cranial neuropathy  synovitis, granulomatous",C0189264,4.2281,6,NULL,5,NULL
"Renal fibrosis",C0010157,8.3,6,NULL,1,NULL
"Postural low back pain",C0105960,7.6667,6,NULL,1,1
"Infantile epilepsy, myoclonic",C0134419,NULL,6,NULL,1,NULL
"Disorder of pregnancy",C0010278,4.1667,6,NULL,1,NULL
"Radiation therapy complication",C0051105,5,6,NULL,5,NULL
"Oncology problem",C0114128,NULL,6,NULL,7,NULL
"Postmenopausal frontal fibrosing alopecia",C0143011,11.5738,6,NULL,2,NULL
"Epithelioid hemangioendothelioma",C0017953,7.4444,6,473,1,NULL
"Nodular sclerosis classical hodgkin lymphoma",C0010511,7.2,6,NULL,1,NULL
"Grade iii meningioma",C0039480,8.5,6,NULL,1,NULL
Myasthenia,C0136259,3.625,6,NULL,8,NULL
"Pten gene mutation",C0305949,4.0909,6,NULL,3,NULL
Lymphangiomatosis,C0041198,7.7895,6,NULL,2,NULL
"Argininosuccinic aciduria",C0030492,5.8529,6,113,2,NULL
"Bone marrow transplant failure",C0043699,6.2727,6,NULL,4,NULL
"Poem syndrome",C0009286,4.5766,6,515,2,NULL
"Cancer colon staged",C0039282,5.5,6,NULL,5,2
"Spinocerebellar ataxia type 6",C0116166,9.75,6,NULL,8,NULL
"Breastfeeding painful",C0090716,9.2222,6,NULL,1,NULL
"Functional disorder of intestine",C0006113,7.8421,6,NULL,1,NULL
"Persistent depressive disorder",C0353211,4,6,NULL,2,NULL
"Occult malignancy",C0114298,NULL,6,NULL,3,NULL
"Breast carcinoma metastatic in the bone",C0153732,10.0455,6,NULL,1,1
"Hbv coinfection",C0202920,NULL,6,NULL,1,NULL
"Kearns-sayre syndrome",C0006758,5.3971,6,541,3,NULL
Osteoma,C0007517,7.0533,6,2905,1,NULL
"Pten hamartoma tumor syndrome",C0194104,5.5,6,NULL,7,NULL
"Amaurosis congenita of leber, type 1",C0294461,NULL,6,NULL,1,NULL
"Duchenne and becker muscular dystrophy",C0314810,NULL,6,NULL,8,NULL
"Adult burkitt lymphoma",C0038705,12.1111,6,NULL,1,NULL
"Creutzfeldt-jakob disease",C0006734,6.0826,6,4998,3,NULL
"Hereditary multiple exostosis",C0005935,7.4453,6,971,2,NULL
"Malignant neoplasm of jejunum",C0003351,12.7131,7,NULL,2,NULL
"Tethered cord syndrome",C0009211,7.7143,7,NULL,3,1
"Recurrent lung cancer",C0130088,NULL,7,NULL,4,5
"Stage iii lung cancer",C0130132,NULL,7,NULL,33,12
"22q13.3 deletion syndrome",C0185148,7.6667,7,NULL,50,3
"Coronary artery disease, autosomal dominant, 1",C0180221,NULL,7,NULL,1,NULL
"Perihilar cholangiocarcinoma",C0348626,NULL,7,NULL,1,NULL
"Venous malformation",C0028342,6.8182,7,NULL,10,NULL
"Capillary leak syndrome",C0045232,5.4925,7,343,2,NULL
"Erbb2 gene mutation",C0306388,5,7,NULL,10,NULL
"Maple syrup urine disease",C0007068,5.1053,7,908,3,NULL
"Pleural mesothelioma malignant advanced",C0123749,9.5,7,NULL,1,1
"Infantile neuroaxonal dystrophy",C0032261,8.75,7,NULL,3,NULL
"Malignant tumor of digestive organ",C0047728,6.8,7,NULL,3,NULL
"Premature aging syndrome",C0018518,4.8,7,466,1,1
"Hypermobility syndrome",C0010386,5.8649,7,NULL,1,NULL
"Wolff-parkinson-white syndrome",C0009110,5.7959,7,4898,4,NULL
"Adrenal cortical hypofunction",C0053874,6.9231,7,NULL,2,NULL
"Neonatal opiate withdrawal syndrome",C0306888,5.6667,7,NULL,2,NULL
"Endolymphatic hydrops",C0017852,7.8976,7,445,1,NULL
"Facial neuralgia",C0005969,5.7183,7,1139,1,NULL
"Acquired haemophilia",C0137261,4.25,7,NULL,1,NULL
Leukocytosis,C0006906,3.94,7,4333,1,NULL
"Evans syndrome",C0033371,8,7,NULL,2,NULL
"Primary immunoglobulin a nephropathy",C0301502,14.8144,7,NULL,3,4
"Glycogen storage disease type iii",C0006201,6.048,7,267,3,NULL
Akathisia,C0050881,4.2692,7,NULL,1,NULL
"Paroxysmal nocturnal dyspnea",C0194102,4.5652,7,NULL,1,NULL
"Inflammatory carcinoma of breast stage iv",C0123088,7,7,NULL,1,NULL
"Cardiac carcinoma",C0003496,7.1406,7,11703,2,NULL
"Primary central nervous system neoplasm",C0115871,7,7,NULL,1,1
"Central nervous system hodgkin lymphoma",C0198556,9.5455,7,NULL,1,NULL
"Liver mass",C0022953,5.3,7,NULL,1,NULL
"Inborn error metal metabolism",C0007152,4.2188,7,224,2,NULL
"Angioimmunoblastic t-cell lymphoma recurrent",C0123702,10.2469,7,NULL,2,2
"Non-small cell carcinoma of lung, tnm stage 4",C0175427,11.7917,7,NULL,2,4
"Stiff-person syndrome",C0009264,4.495,8,402,1,NULL
"Neuromuscular inhibition",C0019913,4,8,NULL,1,NULL
"Egfr np_005219.2:p.l858r",C0306682,5,8,NULL,23,NULL
"Liver cyst",C0029928,6.2545,8,NULL,1,NULL
"Specific child development disorder",C0009409,NULL,8,NULL,1,NULL
"Intravenous drug abuse",C0009419,5.5,8,NULL,1,NULL
"Anal basaloid carcinoma",C0039438,9.1333,8,NULL,1,NULL
"Mitochondrial toxicity",C0137305,3.9524,8,NULL,2,NULL
"Acute lymphoblastic leukemia, in relapse",C0237271,5,8,NULL,4,7
"Herpetic keratitis",C0002976,7.4516,8,1295,1,NULL
Galactosemia,C0006125,4.8278,8,1979,32,NULL
"Mobius syndrome",C0018099,7.8715,8,173,2,NULL
"Anal cancer stage i",C0038569,4.1818,8,NULL,2,1
"Hereditary angioedema type i and ii",C0210593,6.5385,8,19,1,NULL
"Lumbar spondylosis",C0009725,8.3261,8,NULL,1,NULL
"Non-24 hour sleep-wake disorder",C0115967,4,8,NULL,1,NULL
"Pediatric autoimmune neuropsychiatric disorder associated with streptococcal infection",C0294614,4,8,NULL,1,NULL
"Deficiency of pyruvate kinase",C0043681,5.125,8,NULL,46,NULL
Meningoencephalitis,C0007130,6.0849,8,5097,1,NULL
"Waldenstrom's macroglobulinaemia recurrent",C0122872,10.8605,8,NULL,1,2
"Juvenile psoriatic arthritis",C0321359,8.2,8,NULL,1,1
"C3 glomerulopathy",C0353221,4,8,NULL,9,2
"Autosomal dominant optic atrophy",C0041806,6.8052,8,115,1,NULL
"Stage prostate cancer",C0039299,5,8,NULL,9,NULL
Butting,C0019594,5,8,NULL,1,NULL
"Pilocytic astrocytoma",C0041543,10.1,8,NULL,5,NULL
"Waldenstrom's macroglobulinaemia refractory",C0123676,9.0099,8,NULL,1,2
"Brachial plexus neuritis",C0018412,6.6721,8,1227,3,NULL
Cystadenoma,C0005509,6.5897,8,3501,1,NULL
Glomerulosclerosis,C0017583,7.8571,8,NULL,1,NULL
Progeria,C0008103,5.1286,8,969,7,NULL
"Intracranial meningioma",C0049931,8.5581,8,NULL,5,NULL
"Solid carcinoma",C0041307,12.1111,8,NULL,6,NULL
"Angioimmunoblastic t-cell lymphoma refractory",C0123697,10.2469,8,NULL,1,1
"Childhood depression",C0204980,4.25,8,NULL,1,2
"Peripheral vertigo",C0012734,8.3571,8,NULL,1,NULL
"Stage iv esophageal adenocarcinoma",C0138879,7.913,8,NULL,1,1
"Giant cell fibroblastoma",C0320011,8.9439,8,NULL,2,1
"Crohn's disease of large bowel",C0013218,10.0778,9,NULL,10,2
"Fibrodysplasia ossificans progressiva",C0006030,5.3333,9,NULL,5,NULL
"Epidermolysis bullosa acquisita",C0009158,5.4286,9,307,2,NULL
"Cerebral toxoplasmosis",C0009274,7.1303,9,953,1,NULL
"Propionic acidemia",C0000286,5.6538,9,36,2,NULL
"Alk negative anaplastic large cell lymphoma",C0153425,11.0769,9,NULL,4,NULL
"Reactive arthritis",C0009298,6.1905,9,3535,2,NULL
"Cervix carcinoma stage i",C0038606,8.5769,9,NULL,1,NULL
"Migraine with typical aura",C0174888,9.0625,9,NULL,1,NULL
"Hangover from any alcohol or other drug substance",C0018109,4,9,NULL,1,NULL
"Adenocarcinoma of the prostate metastatic",C0129940,10.6563,9,NULL,1,1
"Ntrk1 gene rearrangement",C0173758,6,9,NULL,9,NULL
Vaginospasm,C0197730,4.88,9,43,4,NULL
"Difficulty sleeping",C0020411,4.25,9,NULL,1,NULL
"Cancer fatigue",C0153756,5.5,9,NULL,6,NULL
"Senile osteoporosis",C0007526,5.6667,9,NULL,1,NULL
"Anxiety and fear",C0064333,5.5,9,NULL,1,NULL
"Abortion early",C0136916,4,9,NULL,1,NULL
"Hallervorden-spatz syndrome",C0006258,5.8636,9,353,11,8
"Testicular disease",C0008730,4.8451,9,3876,2,2
"Non-radiographic axial spondyloarthritis",C0334677,8.7037,9,NULL,3,NULL
Syringomyelia,C0008700,4.9074,9,2965,1,NULL
"Biliary colic",C0010254,6,9,NULL,1,NULL
"Q fever",C0008221,4.4444,9,3516,3,NULL
"Aggressive systemic mastocytosis",C0138003,9.2826,9,NULL,1,NULL
"Signet ring cell carcinoma",C0017924,5.8182,9,1090,1,NULL
"Bilateral glaucoma",C0125466,9.4,9,NULL,3,NULL
"Adult brain glioblastoma",C0153462,11.4507,9,NULL,35,27
"Niemann-pick disease, type c1",C0303265,9.5,9,NULL,3,1
"Congenital hypothyroidism",C0000096,6.0985,10,3477,3,1
"Cognitive deterioration",C0123270,3,10,NULL,1,NULL
Lipoma,C0006944,5.5574,10,9508,1,NULL
"Carcinoma in situ of bladder",C0001608,10,10,NULL,1,1
"Type ii muscular atrophy, spinal",C0051232,8.9091,10,NULL,31,4
Leukoaraiosis,C0136431,3.6111,10,185,1,NULL
"Chronic idiopathic thrombocytopenic purpura",C0033520,7.619,10,NULL,2,3
"Hyperlipoproteinemia type iia",C0114678,4.4545,10,NULL,3,NULL
"Renal cyst",C0333959,6.9524,10,NULL,13,2
"Neurotic disorder",C0007399,3.3043,10,17399,1,NULL
"Non-small cell lung cancer stage 0",C0038811,4.2273,10,NULL,8,1
Mucormycosis,C0007221,4.1207,10,2435,1,NULL
"Malignant neoplasm of sigmoid colon",C0003692,13.1198,10,NULL,3,NULL
"Spinocerebellar ataxia type 1",C0116162,9.6447,10,NULL,2,NULL
"Pancreatic cancer non-resectable",C0129075,NULL,10,NULL,5,NULL
"Bile acid malabsorption",C0211501,4,10,NULL,1,NULL
"Spinocerebellar ataxia type 2",C0116163,9.75,10,NULL,1,NULL
"Tonic-clonic epilepsy",C0005871,7.25,10,3764,8,NULL
"Primary hypersomnia",C0008095,6.25,10,NULL,1,NULL
"Cold hemagglutinin disease",C0002307,8.6753,10,NULL,2,NULL
"Asthma with copd",C0131333,NULL,10,NULL,5,1
"Heel spur",C0014750,6.5273,10,76,1,NULL
"Emphysema or copd",C0173987,NULL,10,NULL,2,NULL
"Semantic dementia",C0041770,9.4091,10,NULL,4,NULL
"Metastatic leiomyosarcoma",C0123903,7.65,10,NULL,1,1
"Atm gene mutation",C0158764,5,10,NULL,6,NULL
"Fibrous dysplasia",C0024539,10.1765,10,NULL,1,NULL
"Adenocarcinoma unknown primary",C0039171,9.2,10,NULL,1,NULL
"Depression and suicide",C0161222,4,10,NULL,1,NULL
"Amyotrophic lateral sclerosis 1",C0190031,4,10,NULL,9,24
"Gangliosidosis gm1",C0009237,8.2959,10,269,1,NULL
Nephrocalcinosis,C0007365,5.8864,10,1591,2,NULL
"Undifferentiated connective tissue disease",C0055352,3.8837,10,NULL,1,1
"Cystic fibrosis pulmonary exacerbation",C0138399,5,10,NULL,10,13
"Congenital mesoblastic nephroma",C0153865,8.2105,10,NULL,3,NULL
"Lesch-nyhan syndrome",C0006866,5.1975,11,1062,2,NULL
"Carcinoma in situ of esophagus",C0011707,8.2773,11,NULL,1,1
"Epidermolysis bullosa simplex",C0009162,6,11,322,5,NULL
"Sturge-weber syndrome",C0008632,6.4147,11,891,7,NULL
"Patellar tendonitis",C0014746,7.1739,11,NULL,1,NULL
"Stage iiia hepatocellular carcinoma ajcc v7",C0155681,12.2,11,NULL,2,NULL
"Treatment-resistant schizophrenia",C0315025,NULL,11,NULL,2,NULL
"Glycogen storage disease type i",C0006200,6.1023,11,1100,7,NULL
"Effect of immunotherapy",C0140546,3,11,NULL,7,NULL
"Hereditary fructose intolerance syndrome",C0006107,4.9136,11,321,1,NULL
"Cadasil syndrome",C0115849,5.5224,11,298,6,1
"Other dermatology or skin adverse event",C0167473,7,11,NULL,1,NULL
"Crigler najjar syndrome, type 1",C0005491,5.4688,11,347,8,NULL
"Joint stiffness",C0017366,3.9545,11,NULL,1,NULL
"Philadelphia chromosome-positive acute lymphoblastic leukemia",C0194298,10.6471,11,NULL,1,1
"Stage ii pleural malignant mesothelioma ajcc v7",C0155767,10.5,11,NULL,6,NULL
"Braf np_004324.2:p.v600e",C0306508,6,11,NULL,3,NULL
"Anorectal disease",C0113164,7.3235,11,NULL,1,NULL
"Chronic anemia",C0107695,7.1765,11,NULL,1,2
Methemoglobinemia,C0007159,4.0233,11,2645,4,NULL
"Primary sjögren's syndrome",C0010039,8.7945,11,NULL,3,NULL
"Sickle cell-thalassemia disease",C0203014,7.5741,11,NULL,18,NULL
"Alveolar periostitis",C0005693,7.2745,11,615,1,NULL
"Keratosis follicularis",C0006773,4.5375,12,1482,1,NULL
"Pancreatic intraductal papillary-mucinous neoplasm",C0160526,8.75,12,NULL,2,NULL
"Leigh disease",C0006848,5.7759,12,663,2,NULL
"Stage i cutaneous melanoma ajcc v6",C0038782,8.25,12,NULL,1,1
"Diabetic autonomic neuropathy",C0032983,4.9231,12,NULL,10,NULL
"Klippel-trenaunay-weber syndrome",C0006787,8.8741,12,895,22,NULL
"Delayed sleep phase syndrome",C0051430,6.4286,12,NULL,1,NULL
"Antibiotic resistant strain",C0127796,NULL,12,NULL,1,NULL
"Cerebral amyloid angiopathy",C0009251,5.6596,12,844,1,NULL
"Carcinoma in situ of prostate",C0003402,9.8788,12,888,1,NULL
"Exogenous obesity",C0002864,4.5,12,NULL,2,NULL
"Progressive muscular atrophy",C0134437,5.5,12,NULL,5,3
"Chronic heart disease",C0147591,7.6667,12,NULL,3,NULL
"Facet joint pain",C0063939,5.0938,12,NULL,1,NULL
"Dysplastic nevus",C0017764,7.9474,12,NULL,2,NULL
"Non-healed wound",C0115294,9,12,NULL,1,NULL
"Pancreatic carcinoma stage iva",C0139445,7.3333,12,NULL,1,1
"Atypical lipoma",C0141669,9.5,12,NULL,1,NULL
"Malignant neoplasm of pancreatic duct",C0011316,11.0253,12,NULL,12,NULL
"Light chain disease",C0021485,6.3226,12,NULL,2,NULL
Thrombasthenia,C0008749,5.0361,12,709,1,NULL
"Chronic kidney disease stage 3",C0203536,9.963,12,NULL,3,NULL
"Mucopolysaccharidosis vii",C0009238,5.7708,12,202,2,1
"X-linked centronuclear myopathy",C0055537,8.6316,12,NULL,5,NULL
Ganglioglioma,C0017938,6.3662,12,549,1,NULL
"Mixed anxiety and depressive disorder",C0042116,4.3333,12,NULL,14,NULL
"X-linked bulbo-spinal atrophy",C0179265,4.8966,12,23,1,NULL
"Adult hodgkin lymphoma",C0017973,9.4545,13,NULL,5,4
"Severe depression",C0109589,6,13,NULL,2,2
"Emotional disorder",C0019543,4,13,NULL,1,NULL
Albinism,C0004698,4.4726,13,1660,1,NULL
"Noonan syndrome",C0007422,4.6154,13,993,5,NULL
"Idh-wildtype glioblastoma",C0159496,10.8333,13,NULL,9,2
"Sickle cell-beta-thalassemia",C0018068,10.7258,13,NULL,8,NULL
"Intervertebral disc disorder",C0014694,6.2,13,NULL,1,NULL
"Adult non-hodgkin lymphoma",C0017975,9.4545,13,NULL,1,2
"Eye pain",C0010256,4.4921,13,106,1,NULL
"Chronic depression",C0107702,6,13,NULL,20,7
"Anoxic encephalopathy",C0004826,9.1333,13,NULL,1,NULL
"Benign tumor of mediastinum",C0011624,7.099,13,NULL,1,NULL
"Li-fraumeni syndrome",C0009277,4.1311,13,424,5,3
"Nephropathic cystinosis",C0294396,7.25,13,983,23,NULL
"Denture stomatitis",C0008610,7.9032,13,861,1,1
"Chronic kidney disease stage 4",C0203672,9.963,13,NULL,1,NULL
"Dedifferentiated liposarcoma",C0017777,6.9487,13,NULL,1,NULL
"Mixed connective tissue disease",C0007184,4.9138,13,1339,5,1
Morphea,C0161273,5.8696,13,NULL,5,NULL
"End stage cancer",C0114297,NULL,13,NULL,2,1
"Lupus cutaneous",C0114785,NULL,14,NULL,1,NULL
"Castration-resistant prostatic cancer",C0318988,NULL,14,NULL,6,NULL
"Late-infantile neuronal ceroid lipfuscinosis",C0006735,8.9333,14,NULL,18,NULL
"Congenital neutropenia",C0043683,6.7273,14,NULL,1,NULL
"Chronic post-traumatic stress disorder",C0113921,5.5,14,NULL,7,4
"Spastic paraparesis",C0008543,6.1053,14,252,3,NULL
"Late onset alzheimer disease",C0000421,10.1538,14,NULL,2,5
"Hemoglobin s disease with crisis",C0021594,8.9155,14,NULL,35,6
Hyperacusis,C0008235,5.3545,14,324,4,NULL
"Sporadic inclusion body myopathy",C0115937,NULL,14,NULL,2,NULL
"MPS III B",C0009462,8.3,14,NULL,7,NULL
"Hmn (hereditary motor neuropathy) proximal type i",C0009097,8.0385,14,NULL,20,NULL
Causalgia,C0005201,5.2698,14,599,4,NULL
"Clostridium difficile diarrhea",C0020828,12.4568,14,NULL,2,NULL
"Second primary cancer",C0115874,4.5,14,NULL,1,NULL
Alpha-thalassemia,C0004730,5.9694,14,1164,1,NULL
"Recurrent depression",C0018243,5.8,14,NULL,2,NULL
"Disorder of shoulder",C0148044,6.6,14,NULL,9,NULL
"Clear-cell metastatic renal cell carcinoma",C0295005,NULL,14,NULL,11,1
"Urinary tract obstruction",C0000054,5.6,14,NULL,1,NULL
"Marinesco-sjogren syndrome",C0007075,9.7778,14,NULL,1,NULL
"T-cell lymphoma refractory",C0123690,7.6087,14,NULL,1,NULL
"Tp53 gene mutation",C0335416,5,14,NULL,2,NULL
"Alopecia universalis",C0026335,6.8,15,NULL,3,1
"Hereditary spastic paraplegia",C0008545,6.7095,15,641,2,NULL
"Cutaneous lymphoma",C0143891,4,15,NULL,1,NULL
"Lymphatic abnormality",C0051920,3.7647,15,110,6,NULL
"Nut hypersensitivity",C0105927,6.2,15,137,1,NULL
"Treatment related secondary malignancy",C0134044,6.5,15,NULL,1,NULL
"Adrenal gland disease",C0004669,3.7091,15,4769,2,NULL
"Primary hiv infection",C0139031,NULL,15,NULL,1,NULL
"Lumbosacral radiculopathy",C0012168,6.2105,15,NULL,1,NULL
"Pseudoxanthoma elasticum",C0008151,4.1667,15,1241,1,NULL
"Diffuse lymphoma",C0321315,5.6,15,NULL,2,NULL
"Irritable bowel syndrome with constipation",C0359793,4,15,NULL,1,1
"Toxic epidermal necrolysis",C0005860,5.9432,15,NULL,1,NULL
"Primary fibromyalgia",C0115561,7.2381,15,NULL,2,1
"Leptomeningeal neoplasm",C0115649,8,15,NULL,1,NULL
"Juvenile spinal muscular atrophy",C0010396,8.6667,16,NULL,16,NULL
"Idiopathic hypereosinophilic syndrome",C0017817,8.1429,16,NULL,1,NULL
"Stage iii pleural malignant mesothelioma ajcc v7",C0155729,10.5,16,NULL,1,NULL
"Immune suppression",C0179752,NULL,16,NULL,1,NULL
"Cancer other",C0173083,6,16,NULL,6,NULL
"Functional colonic disease",C0005397,5.2667,16,3553,1,NULL
"B acute lymphoblastic leukemia with t(9,22)(q34.1,q11.2), bcr-abl1",C0173582,11.0526,16,NULL,1,NULL
"Brain stem infarction",C0087154,6.1405,16,389,2,4
"Social stress",C0133550,NULL,16,NULL,2,NULL
"Congenital nonbullous ichthyosiform erythroderma",C0009152,6.1364,16,517,1,NULL
"Respiratory distress syndrome in premature infant",C0195134,NULL,16,NULL,1,NULL
"Stage iv adenocarcinoma of lung",C0123838,10.2353,16,NULL,13,10
"Williams syndrome",C0017475,4.9917,16,914,2,NULL
"Ornithine carbamoyltransferase deficiency",C0030487,5.7,16,711,2,NULL
"Chronic atrial fibrillation",C0113255,10.2241,16,NULL,1,1
"Juvenile rheumatoid arthritis",C0321358,7.95,16,NULL,4,1
Photopsia,C0009346,4.6,16,NULL,1,NULL
"Multifocal motor neuropathy",C0051492,4.2917,16,NULL,7,NULL
"Usher syndrome",C0032552,8.1162,17,171,6,NULL
"X-linked dominant hypophosphatemic rickets",C0113972,6.375,17,NULL,1,NULL
"Acid cholesteryl ester hydrolase deficiency, type 2",C0295153,NULL,17,NULL,1,NULL
"Membranoproliferative glomerulonephritis",C0006187,10.7244,17,1797,5,NULL
"Chaga cardiomyopathy",C0005258,7.0847,17,1452,2,NULL
